0_0_3_00384,0
0_0_3_00768,0
0_0_4_00384,0
0_0_4_00768,0
0_0_5_00384,0
0_0_5_00768,0
0_0_6_00384,0
0_0_6_00768,0
0_0_7_00384,0
0_0_7_00768,0
0_0_7_01152,0
0_0_7_01536,0
0_0_8_00384,0
0_0_8_00768,0
0_0_9_00384,0
0_0_9_00768,0
0_1_3_00384,1
0_1_3_00768,1
0_1_4_00384,1
0_1_5_00384,1
0_1_5_00768,1
0_1_6_00384,1
0_1_7_00384,1
0_1_7_00768,1
0_1_8_00384,1
0_1_8_00768,1
0_1_8_01152,1
0_1_9_00384,1
0_1_9_00768,1
0_2_3_00384,1
0_2_3_00768,1
0_2_4_00384,1
0_2_4_00768,1
0_2_5_00384,1
0_2_5_00768,1
0_2_6_00384,1
0_2_6_00768,1
0_2_7_00384,1
0_2_7_00768,1
0_2_8_00384,1
0_2_8_00768,1
1_0_3_00384,0
1_0_3_00768,0
1_0_4_00384,0
1_0_4_00768,0
1_0_5_00384,0
1_0_5_00768,0
1_0_6_00384,0
1_0_6_00768,0
1_0_7_00384,0
1_0_7_00768,0
1_0_8_00384,0
1_0_8_00768,0
1_0_9_00384,0
1_1_3_00384,1
1_1_3_00768,1
1_1_4_00384,1
1_1_4_00768,1
1_1_5_00384,1
1_1_5_00768,1
1_1_6_00384,1
1_1_6_00768,1
1_1_7_00384,1
1_1_7_00768,1
1_1_8_00384,1
1_1_8_00768,1
1_1_9_00384,1
1_1_9_00768,1
1_2_3_00384,1
1_2_3_00768,1
1_2_4_00384,1
1_2_4_00768,1
1_2_5_00384,1
1_2_5_00768,1
1_2_6_00384,1
1_2_6_00768,1
1_2_7_00384,1
1_2_7_00768,1
1_2_8_00384,1
1_2_8_00768,1
2_0_3_00384,0
2_0_3_00768,0
2_0_4_00384,0
2_0_4_00768,0
2_0_5_00384,0
2_0_5_00768,0
2_0_6_00384,0
2_0_6_00768,0
2_0_7_00384,0
2_0_7_00768,0
2_0_8_00384,0
2_0_8_00768,0
2_0_9_00384,0
2_0_9_00768,0
2_1_3_00384,1
2_1_3_00768,1
2_1_4_00384,1
2_1_4_00768,1
2_1_5_00384,1
2_1_5_00768,1
2_1_6_00384,1
2_1_6_00768,1
2_1_7_00384,1
2_1_7_00768,1
2_1_8_00384,1
2_1_8_00768,1
2_1_9_00384,1
2_1_9_00768,1
2_2_3_00384,1
2_2_3_00768,1
2_2_4_00384,1
2_2_4_00768,1
2_2_5_00384,1
2_2_5_00768,1
2_2_6_00384,1
2_2_6_00768,1
2_2_7_00384,1
2_2_7_00768,1
2_2_8_00384,1
2_2_8_00768,1
